user,tweet,sentimen
ziggyzella,"YUUUKZ dibaca thread ini, saudara-saudara!

Biar dapet insight lagi kenapa sih kita hrs ngotot soal penundaan RKUHP.

nunda bukan berarti ngga mendukung Indonesia punya KUHP baru, engga gitu. 

tapi mbok ya pasal2 yg bermasalah ini dibetulin dulu, gituuh!

#OrangBaikBisaKena https://t.co/9uzpdukqSa",positif
zhongruihhhe,"Yuk kesini, bagi yg mau mendengar, berpendapat dan berdialog mengenai RKUHP, mumpung Guru-Guru Besar yg ikut menyusunnya ada di Semarang semua. Kita harus melihat dari segi filosofis, sosiologis serta yuridis dari setiap peraturan perundang-undangan https://t.co/YPNCqUgvTu",positif
zhifaa,"Yuk jangan fokus ke RKUHP, RUU PKS &amp; UU KPK saja. Selain pembakaran hutan, ada yg tak kalah penting: Papua. Masalah di Papua sangat kompleks. Tapi begini, coba nilai sendiri: di Jakarta, mahasiswa unjuk rasa disemprot gas air mata. Di Papua, mahasiswa unjuk rasa ditodong senjata. https://t.co/fICNayqnLY",positif
zharfaqonita,Yuk baca biar ngerti PERSOALAN tentang RKUHP https://t.co/qKdmZc5HpY,positif
zfird,"Yth Bp Presiden @jokowi. Mohon tolak kriminalisasi &amp; diskriminasi di RKUHP : wanita malam, piara hewan, pribadi (kumpul kebo, LGBT), &amp; gelandangan. Mohon tulis sanksi ""minimal"", bukan ""maksimal"" agar tidak ada oknum bermain. Tq Pak.

@KSPgoid @KemensetnegRI @setkabgoid",positif
zerazpanjaitan,"Yolanda adalah korban kekerasan seksual saat masih kecil. Dia percaya bahwa pendidikan seks sejak dini dapat mencegah orang lain utk menderita seperti dia

Yuk tanda tangani petisi tolak RKUHP agar tidak ada lg Yolanda lainnya.
https://t.co/MKMi5BeGK4

Credit: manusiaui https://t.co/nDVPARSeUf",positif
zenteguh,yodah ntar malem aku berpedapat disini pendapatku mengenai rkuhp,positif
zendotcom,Yo mbok hpnya dipakai mas .. cari draft RUU atau RKUHP nanti pasti tau kenapa.. https://t.co/BwSYvlnKzq,positif
zend_ko,Yo emang gerakan kemarin itu bukan untuk melengserkan Jokowi kok. Tapi tentang RKUHP dan UU KPK.,positif
zenalarifin_,"Yo di NU kan banyak Sarjana Hukum. Yo Monggo dilakukan pengkajian dulu. 😂🤦🤦

https://t.co/kzJ03tozfs",positif
ZeaMaysAllium,"Yg pro dan yg kontra rkuhp, baca pasal² yg kontroversi ya, semua ayatnya bukan 1 ayat saja

Soalnya yg di media cuma baca 1 ayat thok.

Padahal dalam 1 pasal ada beberapa ayat yg saling terkait.",positif
Ze_sukma,"yg pgn baca RKUHP FULL disinii
https://t.co/JKvOcvGvcO",positif
zanalisaghe,"Yg harus diingat semisal nanti rkuhp jadi ditunda, pemerintahan pakde juga ikut lho dalam merancangnya, jangan nanti malah kemakan framing pakde yg jadi pahlawan. Asli jijik. https://t.co/XeX3TfhlP2",positif
